epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.7161,1.16324,3.004,1.35698,0.26837,0.78582,0.35849,0.23399,1.05945,3.14087,1.20103,0.000125,0.000125,0.000125
2,12.6317,1.11856,1.59816,1.23855,0.38594,0.76166,0.45202,0.27947,1.07335,1.87023,1.22001,0.000259252,0.000259252,0.000259252
3,17.0308,1.05543,1.25444,1.19529,0.56637,0.81955,0.7162,0.51916,0.95567,1.24345,1.13473,0.0003901,0.0003901,0.0003901
4,21.1384,0.98334,1.03363,1.15596,0.62073,0.84951,0.79959,0.60514,0.86848,1.00753,1.08606,0.000517545,0.000517545,0.000517545
5,25.6694,0.97901,0.95372,1.17067,0.78617,0.69779,0.78256,0.59075,0.89766,1.08727,1.10744,0.000641587,0.000641587,0.000641587
6,29.7369,0.94041,0.86356,1.13556,0.78143,0.79419,0.8574,0.64342,0.97538,0.89278,1.13255,0.000762227,0.000762227,0.000762227
7,33.7383,0.95075,0.85291,1.14786,0.74675,0.75089,0.80651,0.56302,1.04534,1.28692,1.52461,0.000879462,0.000879462,0.000879462
8,38.5909,1.02063,0.81133,1.19543,0.60078,0.64841,0.61863,0.44093,1.00642,1.94959,1.27863,0.000993295,0.000993295,0.000993295
9,42.6626,0.96635,0.75712,1.16135,0.5505,0.76624,0.62818,0.44758,1.09873,4.80867,1.29367,0.00110373,0.00110373,0.00110373
10,46.519,0.95,0.73873,1.16604,0.77534,0.6829,0.81398,0.60935,0.93294,1.05403,1.23509,0.00111078,0.00111078,0.00111078
11,50.9301,0.91591,0.67733,1.12973,0.68714,0.63972,0.74383,0.51806,1.02782,1.31116,1.28819,0.00109531,0.00109531,0.00109531
12,55.1504,0.91812,0.71217,1.13082,0.76619,0.64317,0.78389,0.5848,0.96561,1.1456,1.18297,0.00107984,0.00107984,0.00107984
13,58.886,0.88815,0.65154,1.1324,0.71774,0.78008,0.82895,0.58074,1.06307,1.22219,1.22764,0.00106437,0.00106437,0.00106437
14,63.1156,0.88571,0.65797,1.10983,0.91247,0.9158,0.95049,0.70536,0.93158,0.69014,1.30757,0.00104891,0.00104891,0.00104891
15,67.6116,0.92038,0.65191,1.13816,0.85743,0.84237,0.92433,0.64471,1.04231,0.77436,1.45358,0.00103344,0.00103344,0.00103344
16,71.4075,0.87349,0.60039,1.09234,0.89674,0.89372,0.96836,0.71952,0.92727,0.60211,1.21542,0.00101797,0.00101797,0.00101797
17,75.3791,0.85754,0.59146,1.09163,0.95436,0.8727,0.96978,0.75133,0.82819,0.57926,1.1413,0.0010025,0.0010025,0.0010025
18,80.0643,0.89517,0.61108,1.13431,0.82113,0.9429,0.96299,0.72647,0.86397,0.6925,1.19766,0.000987031,0.000987031,0.000987031
19,83.8761,0.82769,0.59207,1.09913,0.91234,0.84965,0.92363,0.69897,0.88334,0.73951,1.21321,0.000971562,0.000971562,0.000971562
20,87.6353,0.87984,0.59937,1.12036,0.91059,0.85288,0.93569,0.69515,0.91594,0.76606,1.29855,0.000956094,0.000956094,0.000956094
21,92.216,0.87071,0.59626,1.13254,0.93804,0.88269,0.95842,0.76646,0.84847,0.65383,1.13801,0.000940625,0.000940625,0.000940625
22,96.1369,0.80994,0.54678,1.08365,0.91918,0.9253,0.96268,0.68676,1.04357,0.64484,1.35451,0.000925156,0.000925156,0.000925156
23,100.095,0.84206,0.59465,1.09464,0.91903,0.90936,0.93242,0.7417,0.78968,0.56937,1.06381,0.000909688,0.000909688,0.000909688
24,104.798,0.78717,0.549,1.07651,0.9762,0.93883,0.97247,0.72909,0.88583,0.51335,1.23102,0.000894219,0.000894219,0.000894219
25,108.589,0.80941,0.55331,1.09056,0.96869,0.95191,0.97544,0.76687,0.81156,0.47421,1.07918,0.00087875,0.00087875,0.00087875
26,112.676,0.75007,0.52964,1.05114,0.96816,0.93423,0.96843,0.75349,0.85275,0.50297,1.21713,0.000863281,0.000863281,0.000863281
27,117.403,0.79249,0.54631,1.07534,0.93964,0.92179,0.95064,0.75619,0.81068,0.58269,1.16832,0.000847813,0.000847813,0.000847813
28,121.251,0.75219,0.5155,1.0498,0.99158,0.96215,0.98333,0.79982,0.76319,0.43528,1.09609,0.000832344,0.000832344,0.000832344
29,125.121,0.75733,0.49742,1.0357,0.95815,0.99275,0.99349,0.79887,0.76898,0.42603,1.10917,0.000816875,0.000816875,0.000816875
30,129.735,0.70325,0.46153,1.03144,0.99127,0.97915,0.995,0.80189,0.74481,0.43876,1.06559,0.000801406,0.000801406,0.000801406
31,133.897,0.70513,0.48454,1.02791,0.95411,0.95726,0.98232,0.78848,0.75557,0.46811,1.04157,0.000785938,0.000785938,0.000785938
32,137.73,0.74199,0.48742,1.05486,0.96774,0.98392,0.99095,0.78396,0.77001,0.46336,1.12827,0.000770469,0.000770469,0.000770469
33,142.116,0.7025,0.48193,1.02476,0.99069,0.94257,0.98736,0.78327,0.78036,0.42756,1.15284,0.000755,0.000755,0.000755
34,146.36,0.7064,0.45858,1.03654,0.92915,0.98711,0.9904,0.79281,0.77522,0.44556,1.16336,0.000739531,0.000739531,0.000739531
35,150.255,0.72549,0.47933,1.03027,0.96816,0.97043,0.98183,0.80132,0.76265,0.46599,1.12238,0.000724062,0.000724062,0.000724062
36,154.59,0.68186,0.45315,1.02098,0.97609,0.97122,0.98995,0.83239,0.69303,0.41183,1.06834,0.000708594,0.000708594,0.000708594
37,158.952,0.71556,0.48093,1.05026,0.97008,0.95876,0.99013,0.81277,0.75063,0.4094,1.14117,0.000693125,0.000693125,0.000693125
38,162.915,0.66823,0.44951,1.01914,0.94711,0.97661,0.98031,0.81196,0.70793,0.43482,1.04323,0.000677656,0.000677656,0.000677656
39,167.212,0.66313,0.44614,1.00218,0.92344,0.9673,0.97555,0.79142,0.75979,0.45894,1.11795,0.000662188,0.000662188,0.000662188
40,171.518,0.68304,0.47175,1.03173,0.95172,0.9854,0.97123,0.80111,0.71227,0.4253,1.0429,0.000646719,0.000646719,0.000646719
41,175.366,0.66445,0.44118,1.00659,0.9617,0.95989,0.97099,0.80463,0.71269,0.40905,1.01365,0.00063125,0.00063125,0.00063125
42,179.352,0.6363,0.42828,0.9899,0.96004,0.94414,0.97927,0.8238,0.7161,0.43196,1.01269,0.000615781,0.000615781,0.000615781
43,183.891,0.66126,0.43732,1.00654,0.94922,0.94214,0.98329,0.81023,0.71924,0.41303,1.02579,0.000600313,0.000600313,0.000600313
44,187.766,0.64871,0.43392,0.99857,0.93578,0.98427,0.99018,0.8253,0.72967,0.39324,1.06171,0.000584844,0.000584844,0.000584844
45,191.637,0.65393,0.43149,0.99268,0.96828,0.97573,0.98504,0.78799,0.78882,0.4194,1.16492,0.000569375,0.000569375,0.000569375
46,196.128,0.6364,0.4089,0.99195,0.98033,0.98684,0.9742,0.79978,0.75896,0.42157,1.0772,0.000553906,0.000553906,0.000553906
47,199.996,0.65202,0.42027,1.01919,0.97981,0.98129,0.96947,0.80669,0.71625,0.40867,1.07451,0.000538438,0.000538438,0.000538438
48,203.945,0.6249,0.40908,0.98433,0.9426,0.97596,0.96908,0.80636,0.6938,0.4186,1.04223,0.000522969,0.000522969,0.000522969
